Policy Number,Policy Effective Date,Policy Expiration Date,Product Name/Type,Coverage Limits,Deductible Amount,Premium Amount,Agent/Broker ID,Underwriting Segment/Risk Class
POL81812,5/28/23,5/26/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81813,1/13/23,1/12/24,Health Basic,5000,250,500,AGT101,Standard
POL81814,7/17/22,7/16/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81815,6/18/23,6/16/24,Health Basic,5000,250,500,AGT102,Standard
POL81816,8/8/23,8/6/24,Health Basic,5000,250,500,AGT103,Standard
POL81817,8/30/23,8/28/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL81818,12/28/22,12/27/23,Auto Standard,100000,500,1200,AGT103,Standard
POL81819,2/15/23,2/14/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81820,11/9/22,11/8/23,Health Basic,5000,250,500,AGT102,Standard
POL81821,6/16/22,6/15/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81822,2/15/22,2/14/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81823,1/15/22,1/14/23,Auto Standard,100000,500,1200,AGT103,Standard
POL81824,11/9/22,11/8/23,Health Basic,5000,250,500,AGT102,Standard
POL81825,11/13/22,11/12/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81826,4/12/22,4/11/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81827,7/15/22,7/14/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81828,5/7/22,5/6/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81829,10/30/23,10/28/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81830,3/4/22,3/3/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81831,2/28/22,2/27/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81832,9/21/22,9/20/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL81833,5/22/22,5/21/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81834,1/6/22,1/5/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL81835,7/31/23,7/29/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81836,7/7/23,7/5/24,Auto Standard,100000,500,1200,AGT101,Standard
POL81837,7/8/23,7/6/24,Health Basic,5000,250,500,AGT103,Standard
POL81838,7/28/23,7/26/24,Health Basic,5000,250,500,AGT102,Standard
POL81839,5/10/23,5/8/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81840,8/27/23,8/25/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81841,10/6/22,10/5/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL81842,8/16/23,8/14/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81843,11/30/23,11/28/24,Health Basic,5000,250,500,AGT103,Standard
POL81844,12/16/22,12/15/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81845,4/17/22,4/16/23,Health Basic,5000,250,500,AGT103,Standard
POL81846,5/23/23,5/21/24,Health Basic,5000,250,500,AGT103,Standard
POL81847,1/2/22,1/1/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81848,6/4/23,6/2/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81849,9/22/22,9/21/23,Auto Standard,100000,500,1200,AGT101,Standard
POL81850,12/28/22,12/27/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81851,10/2/23,9/30/24,Auto Standard,100000,500,1200,AGT102,Standard
POL81852,4/8/23,4/6/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81853,11/19/22,11/18/23,Auto Standard,100000,500,1200,AGT102,Standard
POL81854,6/5/23,6/3/24,Auto Standard,100000,500,1200,AGT103,Standard
POL81855,6/23/22,6/22/23,Health Basic,5000,250,500,AGT101,Standard
POL81856,3/20/23,3/18/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81857,11/10/22,11/9/23,Auto Standard,100000,500,1200,AGT103,Standard
POL81858,6/11/22,6/10/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81859,6/19/23,6/17/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81860,1/20/23,1/19/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81861,2/5/23,2/4/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL81862,7/24/22,7/23/23,Health Basic,5000,250,500,AGT102,Standard
POL81863,12/10/23,12/8/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81864,5/17/23,5/15/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81865,3/16/22,3/15/23,Health Basic,5000,250,500,AGT102,Standard
POL81866,9/5/23,9/3/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81867,5/23/22,5/22/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81868,2/23/23,2/22/24,Auto Standard,100000,500,1200,AGT102,Standard
POL81869,3/31/22,3/30/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81870,12/8/22,12/7/23,Auto Standard,100000,500,1200,AGT101,Standard
POL81871,3/26/23,3/24/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81872,8/18/23,8/16/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81873,8/13/22,8/12/23,Health Basic,5000,250,500,AGT101,Standard
POL81874,8/19/23,8/17/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81875,7/16/23,7/14/24,Auto Standard,100000,500,1200,AGT102,Standard
POL81876,2/26/22,2/25/23,Auto Standard,100000,500,1200,AGT103,Standard
POL81877,6/13/23,6/11/24,Health Basic,5000,250,500,AGT102,Standard
POL81878,12/21/23,12/19/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81879,7/17/22,7/16/23,Auto Standard,100000,500,1200,AGT102,Standard
POL81880,3/11/22,3/10/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81881,12/23/22,12/22/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81882,11/16/22,11/15/23,Health Basic,5000,250,500,AGT102,Standard
POL81883,4/4/23,4/2/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81884,6/25/23,6/23/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81885,6/20/22,6/19/23,Health Basic,5000,250,500,AGT103,Standard
POL81886,2/24/22,2/23/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81887,5/18/22,5/17/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81888,4/13/23,4/11/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL81889,8/10/22,8/9/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81890,5/18/22,5/17/23,Health Basic,5000,250,500,AGT103,Standard
POL81891,1/27/23,1/26/24,Health Basic,5000,250,500,AGT102,Standard
POL81892,8/24/23,8/22/24,Health Basic,5000,250,500,AGT103,Standard
POL81893,7/30/22,7/29/23,Health Basic,5000,250,500,AGT103,Standard
POL81894,5/23/23,5/21/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL81895,4/17/23,4/15/24,Health Basic,5000,250,500,AGT102,Standard
POL81896,2/17/22,2/16/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81897,2/7/23,2/6/24,Health Basic,5000,250,500,AGT103,Standard
POL81898,7/20/23,7/18/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81899,9/27/23,9/25/24,Health Basic,5000,250,500,AGT101,Standard
POL81900,12/3/22,12/2/23,Auto Standard,100000,500,1200,AGT103,Standard
POL81901,1/9/22,1/8/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81902,6/30/23,6/28/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81903,1/12/22,1/11/23,Auto Standard,100000,500,1200,AGT102,Standard
POL81904,12/11/23,12/9/24,Auto Standard,100000,500,1200,AGT102,Standard
POL81905,11/17/23,11/15/24,Health Basic,5000,250,500,AGT101,Standard
POL81906,6/14/23,6/12/24,Auto Standard,100000,500,1200,AGT102,Standard
POL81907,4/29/23,4/27/24,Auto Standard,100000,500,1200,AGT103,Standard
POL81908,3/5/23,3/3/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81909,6/20/23,6/18/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81910,1/9/23,1/8/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81911,12/29/22,12/28/23,Auto Standard,100000,500,1200,AGT102,Standard
POL81912,1/20/22,1/19/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81913,5/18/23,5/16/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81914,9/30/22,9/29/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81915,6/6/22,6/5/23,Auto Standard,100000,500,1200,AGT101,Standard
POL81916,1/1/23,12/31/23,Health Basic,5000,250,500,AGT101,Standard
POL81917,10/25/23,10/23/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL81918,1/1/24,12/30/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81919,2/8/22,2/7/23,Health Basic,5000,250,500,AGT101,Standard
POL81920,4/7/23,4/5/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81921,12/16/22,12/15/23,Auto Standard,100000,500,1200,AGT101,Standard
POL81922,9/7/23,9/5/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81923,4/21/23,4/19/24,Auto Standard,100000,500,1200,AGT101,Standard
POL81924,2/6/23,2/5/24,Health Basic,5000,250,500,AGT101,Standard
POL81925,9/27/23,9/25/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81926,3/10/22,3/9/23,Auto Standard,100000,500,1200,AGT103,Standard
POL81927,7/15/23,7/13/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81928,8/8/23,8/6/24,Auto Standard,100000,500,1200,AGT103,Standard
POL81929,12/30/23,12/28/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81930,4/25/22,4/24/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81931,5/12/22,5/11/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81932,11/6/23,11/4/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81933,5/16/22,5/15/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81934,5/7/23,5/5/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81935,11/23/22,11/22/23,Health Basic,5000,250,500,AGT101,Standard
POL81936,3/27/22,3/26/23,Health Basic,5000,250,500,AGT102,Standard
POL81937,10/16/22,10/15/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81938,4/11/23,4/9/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81939,11/15/22,11/14/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81940,4/9/23,4/7/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81941,2/18/23,2/17/24,Auto Standard,100000,500,1200,AGT103,Standard
POL81942,5/19/23,5/17/24,Health Basic,5000,250,500,AGT103,Standard
POL81943,7/20/23,7/18/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81944,4/2/22,4/1/23,Health Basic,5000,250,500,AGT101,Standard
POL81945,3/28/23,3/26/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81946,12/20/22,12/19/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81947,10/7/22,10/6/23,Health Basic,5000,250,500,AGT101,Standard
POL81948,3/10/22,3/9/23,Auto Standard,100000,500,1200,AGT103,Standard
POL81949,4/4/22,4/3/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81950,3/21/23,3/19/24,Health Basic,5000,250,500,AGT101,Standard
POL81951,12/7/22,12/6/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81952,8/21/22,8/20/23,Health Basic,5000,250,500,AGT102,Standard
POL81953,8/17/22,8/16/23,Health Basic,5000,250,500,AGT102,Standard
POL81954,8/25/23,8/23/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81955,6/8/22,6/7/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81956,3/4/22,3/3/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81957,8/10/23,8/8/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL81958,3/22/23,3/20/24,Auto Standard,100000,500,1200,AGT102,Standard
POL81959,11/11/22,11/10/23,Auto Standard,100000,500,1200,AGT102,Standard
POL81960,5/27/22,5/26/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81961,7/19/22,7/18/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81962,2/24/22,2/23/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81963,1/21/22,1/20/23,Health Basic,5000,250,500,AGT101,Standard
POL81964,8/12/22,8/11/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81965,11/21/22,11/20/23,Health Basic,5000,250,500,AGT101,Standard
POL81966,2/10/23,2/9/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81967,8/3/22,8/2/23,Health Basic,5000,250,500,AGT101,Standard
POL81968,2/7/22,2/6/23,Health Basic,5000,250,500,AGT101,Standard
POL81969,11/9/23,11/7/24,Auto Standard,100000,500,1200,AGT101,Standard
POL81970,7/23/22,7/22/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81971,5/7/22,5/6/23,Health Basic,5000,250,500,AGT103,Standard
POL81972,5/29/22,5/28/23,Health Basic,5000,250,500,AGT101,Standard
POL81973,11/25/22,11/24/23,Auto Standard,100000,500,1200,AGT101,Standard
POL81974,7/30/23,7/28/24,Health Basic,5000,250,500,AGT101,Standard
POL81975,3/31/22,3/30/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81976,7/15/22,7/14/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL81977,9/2/23,8/31/24,Health Basic,5000,250,500,AGT103,Standard
POL81978,2/19/23,2/18/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL81979,9/16/23,9/14/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81980,10/22/23,10/20/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81981,12/2/23,11/30/24,Auto Standard,100000,500,1200,AGT101,Standard
POL81982,2/13/22,2/12/23,Health Basic,5000,250,500,AGT101,Standard
POL81983,1/26/22,1/25/23,Auto Standard,100000,500,1200,AGT102,Standard
POL81984,2/13/23,2/12/24,Health Basic,5000,250,500,AGT101,Standard
POL81985,2/21/22,2/20/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81986,1/18/22,1/17/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL81987,3/23/23,3/21/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL81988,3/9/22,3/8/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81989,6/24/22,6/23/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL81990,9/28/23,9/26/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL81991,11/9/23,11/7/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81992,4/12/22,4/11/23,Auto Standard,100000,500,1200,AGT101,Standard
POL81993,4/2/23,3/31/24,Health Basic,5000,250,500,AGT102,Standard
POL81994,5/11/22,5/10/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81995,10/4/22,10/3/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL81996,7/2/22,7/1/23,Auto Standard,100000,500,1200,AGT101,Standard
POL81997,10/5/22,10/4/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL81998,7/24/23,7/22/24,Auto Standard,100000,500,1200,AGT103,Standard
POL81999,7/11/22,7/10/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82000,12/23/22,12/22/23,Auto Standard,100000,500,1200,AGT102,Standard
POL82001,7/3/23,7/1/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82002,1/16/23,1/15/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL82003,3/19/23,3/17/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL82004,3/18/23,3/16/24,Auto Standard,100000,500,1200,AGT102,Standard
POL82005,4/6/22,4/5/23,Auto Standard,100000,500,1200,AGT101,Standard
POL82006,3/17/22,3/16/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL82007,8/17/23,8/15/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82008,1/16/23,1/15/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL82009,10/14/23,10/12/24,Health Basic,5000,250,500,AGT101,Standard
POL82010,2/15/23,2/14/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL82011,2/22/22,2/21/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82012,12/26/23,12/24/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82013,9/22/23,9/20/24,Auto Standard,100000,500,1200,AGT103,Standard
POL82014,11/30/22,11/29/23,Health Basic,5000,250,500,AGT103,Standard
POL82015,9/3/23,9/1/24,Auto Standard,100000,500,1200,AGT102,Standard
POL82016,5/15/22,5/14/23,Auto Standard,100000,500,1200,AGT102,Standard
POL82017,2/22/22,2/21/23,Auto Standard,100000,500,1200,AGT101,Standard
POL82018,4/26/22,4/25/23,Auto Standard,100000,500,1200,AGT103,Standard
POL82019,3/19/23,3/17/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82020,10/1/22,9/30/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82021,7/6/23,7/4/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82022,10/28/23,10/26/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82023,2/16/22,2/15/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82024,10/20/23,10/18/24,Auto Standard,100000,500,1200,AGT102,Standard
POL82025,3/20/22,3/19/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL82026,5/9/22,5/8/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL82027,3/14/23,3/12/24,Health Basic,5000,250,500,AGT103,Standard
POL82028,8/11/23,8/9/24,Health Basic,5000,250,500,AGT103,Standard
POL82029,11/11/23,11/9/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL82030,9/13/23,9/11/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82031,3/3/23,3/1/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82032,8/8/22,8/7/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82033,7/19/22,7/18/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82034,4/21/22,4/20/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82035,2/14/22,2/13/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82036,11/16/22,11/15/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82037,7/20/23,7/18/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82038,11/25/23,11/23/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL82039,7/22/22,7/21/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82040,7/9/22,7/8/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL82041,10/7/23,10/5/24,Auto Standard,100000,500,1200,AGT103,Standard
POL82042,9/18/23,9/16/24,Auto Standard,100000,500,1200,AGT103,Standard
POL82043,6/4/23,6/2/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82044,10/18/23,10/16/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82045,6/29/23,6/27/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL82046,11/24/23,11/22/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82047,10/2/23,9/30/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL82048,3/17/22,3/16/23,Health Basic,5000,250,500,AGT103,Standard
POL82049,9/26/22,9/25/23,Health Basic,5000,250,500,AGT102,Standard
POL82050,12/8/22,12/7/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL82051,9/21/22,9/20/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82052,9/11/23,9/9/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL82053,4/10/23,4/8/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82054,12/27/22,12/26/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82055,6/29/22,6/28/23,Auto Standard,100000,500,1200,AGT103,Standard
POL82056,6/30/22,6/29/23,Health Basic,5000,250,500,AGT103,Standard
POL82057,12/4/23,12/2/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82058,4/9/23,4/7/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL82059,3/18/22,3/17/23,Auto Standard,100000,500,1200,AGT101,Standard
POL82060,5/29/23,5/27/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82061,4/11/22,4/10/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82062,10/10/23,10/8/24,Health Basic,5000,250,500,AGT101,Standard
POL82063,4/12/23,4/10/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82064,3/31/22,3/30/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82065,8/6/22,8/5/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL82066,1/31/23,1/30/24,Auto Standard,100000,500,1200,AGT103,Standard
POL82067,2/14/22,2/13/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82068,1/16/22,1/15/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL82069,9/17/22,9/16/23,Auto Standard,100000,500,1200,AGT103,Standard
POL82070,2/13/23,2/12/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82071,7/2/23,6/30/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82072,10/7/22,10/6/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL82073,3/6/22,3/5/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82074,8/15/22,8/14/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL82075,12/2/22,12/1/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82076,12/28/23,12/26/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL82077,8/11/23,8/9/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL82078,1/1/24,12/30/24,Health Basic,5000,250,500,AGT101,Standard
POL82079,11/30/22,11/29/23,Health Basic,5000,250,500,AGT103,Standard
POL82080,5/1/22,4/30/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82081,2/25/23,2/24/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82082,8/24/22,8/23/23,Health Basic,5000,250,500,AGT101,Standard
POL82083,10/26/22,10/25/23,Health Basic,5000,250,500,AGT102,Standard
POL82084,7/6/22,7/5/23,Health Basic,5000,250,500,AGT101,Standard
POL82085,11/18/23,11/16/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82086,3/5/22,3/4/23,Auto Standard,100000,500,1200,AGT102,Standard
POL82087,3/2/22,3/1/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL82088,11/1/23,10/30/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82089,10/11/22,10/10/23,Auto Standard,100000,500,1200,AGT102,Standard
POL82090,3/26/23,3/24/24,Health Basic,5000,250,500,AGT102,Standard
POL82091,12/22/23,12/20/24,Health Basic,5000,250,500,AGT103,Standard
POL82092,8/14/23,8/12/24,Auto Standard,100000,500,1200,AGT103,Standard
POL82093,9/29/22,9/28/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82094,2/20/23,2/19/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82095,4/6/23,4/4/24,Health Basic,5000,250,500,AGT102,Standard
POL82096,1/9/22,1/8/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL82097,3/10/23,3/8/24,Health Basic,5000,250,500,AGT103,Standard
POL82098,1/15/23,1/14/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82099,8/16/23,8/14/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82100,12/3/23,12/1/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL82101,3/1/23,2/28/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82102,3/21/23,3/19/24,Health Basic,5000,250,500,AGT101,Standard
POL82103,9/21/22,9/20/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL82104,11/6/23,11/4/24,Auto Standard,100000,500,1200,AGT101,Standard
POL82105,3/13/22,3/12/23,Health Basic,5000,250,500,AGT103,Standard
POL82106,1/2/23,1/1/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL82107,8/16/23,8/14/24,Health Basic,5000,250,500,AGT102,Standard
POL82108,10/15/22,10/14/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL82109,10/4/23,10/2/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL82110,4/22/22,4/21/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL82111,10/22/22,10/21/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL82112,9/6/22,9/5/23,Auto Standard,100000,500,1200,AGT102,Standard
POL82113,10/26/22,10/25/23,Health Basic,5000,250,500,AGT103,Standard
POL82114,2/19/23,2/18/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL82115,3/31/22,3/30/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82116,6/16/22,6/15/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL82117,8/15/23,8/13/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL82118,7/22/23,7/20/24,Auto Standard,100000,500,1200,AGT102,Standard
POL82119,6/7/22,6/6/23,Auto Standard,100000,500,1200,AGT103,Standard
POL82120,11/18/23,11/16/24,Health Basic,5000,250,500,AGT102,Standard
POL82121,1/7/22,1/6/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL82122,1/20/23,1/19/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL82123,7/1/22,6/30/23,Auto Standard,100000,500,1200,AGT101,Standard
POL82124,6/10/22,6/9/23,Auto Standard,100000,500,1200,AGT101,Standard
POL82125,9/4/23,9/2/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82126,11/25/22,11/24/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82127,6/17/23,6/15/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL82128,5/7/22,5/6/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL82129,4/24/23,4/22/24,Auto Standard,100000,500,1200,AGT103,Standard
POL82130,4/21/23,4/19/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82131,3/29/22,3/28/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL82132,6/2/23,5/31/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL82133,4/29/23,4/27/24,Health Basic,5000,250,500,AGT103,Standard
POL82134,11/28/22,11/27/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL82135,4/12/22,4/11/23,Property Commercial,500000,2000,2500,AGT101,Commercial
